

Start Time : 12/03/2020 13:30:00
End Time : 12/03/2020 14:30:00

"","Graph Visible","Point Name","Historian","Processing Type","Description","End Value","Units","Scale Visible","Low Scale","High Scale"
"1","On","(A) DEHCV1POS.UNIT2@NET0","Auto Historian","Actual","1#高调阀阀位","100.465","","On","0","110.652"
"2","On","(A) DEHCV2POS.UNIT2@NET0","Auto Historian","Actual","2#高调阀阀位","102.500","","On","0","113.096"
"3","On","(A) DEHCPV1POS.UNIT2@NET0","Auto Historian","Actual","高压补汽阀1#反馈","20.000","","On","0","22.176"
"4","On","(A) DEHCPV2POS.UNIT2@NET0","Auto Historian","Actual","高压补汽阀2#反馈","20.160","","On","-1","10"
"5","On","(A) DEHREF.UNIT2@NET0","Auto Historian","Actual","DEH指令","82.010","","On","0","90.46"
"6","On","(A) 20LAE74CF101-CAL.UNIT2@NET0","Auto Historian","Actual","一级过热器A侧减温水流量","32.099","","On","0","48.3"
"7","On","(A) 20LAE75CF101-CAL.UNIT2@NET0","Auto Historian","Actual","一级过热器B侧减温水流量","24.076","","On","0","46.68"
"8","On","(A) 20LAE78CF101-CAL.UNIT2@NET0","Auto Historian","Actual","二级过热器A侧减温水流量","20.249","","On","0","100"
"9","On","(A) 20LAE77CF101-CAL.UNIT2@NET0","Auto Historian","Actual","二级过热器B侧减温水流量","13.484","","On","0","100"
"10","On","(A) ECOFWFLOW1.UNIT2@NET0","Auto Historian","Actual","给水流量1","1827.725","t/h","On","0","2145"
"11","On","(A) ECOFWFLOW2.UNIT2@NET0","Auto Historian","Actual","给水流量2","1847.547","t/h","On","0","2145"
"12","On","(A) ECOFWFLOW3.UNIT2@NET0","Auto Historian","Actual","给水流量3","1812.892","t/h","On","0","2010.643"
"13","On","(A) 20LAB21DP101-CAL.UNIT2@NET0","Auto Historian","Actual","汽泵入口给水流量1","1827.964","t/h","On","0","2500"
"14","On","(A) 20LAB21DP102-CAL.UNIT2@NET0","Auto Historian","Actual","汽泵入口给水流量2","1831.233","t/h","On","0","2500"
"15","On","(A) 20LAB21DP103-CAL.UNIT2@NET0","Auto Historian","Actual","汽泵入口给水流量3","1824.525","t/h","On","0","2500"
"16","On","(A) 20LCA30CF101-CAL.UNIT2@NET0","Auto Historian","Actual","轴封冷却器出口凝结水流量1","1251.862","","On","0","1725"
"17","On","(A) 20LCA30CF102-CAL.UNIT2@NET0","Auto Historian","Actual","轴封冷却器出口凝结水流量2","1255.708","","On","0","1725"
"18","On","(A) 20LCA30CF103-CAL.UNIT2@NET0","Auto Historian","Actual","轴封冷却器出口凝结水流量3","1254.209","","On","0","1725"
"19","On","(A) 20LCA30CF101.UNIT2@NET0","Auto Historian","Actual","轴封冷却器出口凝结水流量1","31.567","kPa","On","0","62.16"
"20","On","(A) 20LCA30CF102.UNIT2@NET0","Auto Historian","Actual","轴封冷却器出口凝结水流量2","31.785","kPa","On","0","62.16"
"21","On","(A) 20LCA30CF103.UNIT2@NET0","Auto Historian","Actual","轴封冷却器出口凝结水流量3","31.714","kPa","On","0","62.16"
"22","On","(A) 20LBS41CF101-CAL.UNIT2@NET0","Auto Historian","Actual","四抽至小机蒸汽流量","111.655","t/h","On","0","133"
"23","On","(A) 20LBS41CF101.UNIT2@NET0","Auto Historian","Actual","四抽至小机蒸汽流量","46.999","kPa","On","0","100"
"24","On","(A) MSF1.UNIT2@NET0","Auto Historian","Actual","主蒸汽流量","1877.577","","On","0","100"
"25","On","(A) MW.UNIT2@NET0","Auto Historian","Actual","发电机有功功率","617.093","","On","0","700"
"26","On","(A) 20MKC01GV002CE11.UNIT2@NET0","Auto Historian","Actual","#2发电机励磁电流","3526.245","A","On","0","6000"
"27","On","(A) 20MKC01GV002CE21.UNIT2@NET0","Auto Historian","Actual","#2发电机励磁电压","360.500","V","On","0","750"
"28","On","(A) 20CFF01CE001CE34.UNIT2@NET0","Auto Historian","Actual","#2主变高压侧有功功率","593.738","MW","On","0","857.34"
"29","On","(A) 20CFF01CE001CE35.UNIT2@NET0","Auto Historian","Actual","#2厂用高压工作变高压侧有功功率","21.870","MW","On","0","95.26"

"Date Time","DEHCV1POS.UNIT2@NET0","DEHCV2POS.UNIT2@NET0","DEHCPV1POS.UNIT2@NET0","DEHCPV2POS.UNIT2@NET0","DEHREF.UNIT2@NET0","20LAE74CF101-CAL.UNIT2@NET0","20LAE75CF101-CAL.UNIT2@NET0","20LAE78CF101-CAL.UNIT2@NET0","20LAE77CF101-CAL.UNIT2@NET0","ECOFWFLOW1.UNIT2@NET0","ECOFWFLOW2.UNIT2@NET0","ECOFWFLOW3.UNIT2@NET0","20LAB21DP101-CAL.UNIT2@NET0","20LAB21DP102-CAL.UNIT2@NET0","20LAB21DP103-CAL.UNIT2@NET0","20LCA30CF101-CAL.UNIT2@NET0","20LCA30CF102-CAL.UNIT2@NET0","20LCA30CF103-CAL.UNIT2@NET0","20LCA30CF101.UNIT2@NET0","20LCA30CF102.UNIT2@NET0","20LCA30CF103.UNIT2@NET0","20LBS41CF101-CAL.UNIT2@NET0","20LBS41CF101.UNIT2@NET0","MSF1.UNIT2@NET0","MW.UNIT2@NET0","20MKC01GV002CE11.UNIT2@NET0","20MKC01GV002CE21.UNIT2@NET0","20CFF01CE001CE34.UNIT2@NET0","20CFF01CE001CE35.UNIT2@NET0"
"","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian","Auto Historian"
"","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual","Actual"
"12/03/2020 14:29:55","100.465","102.500","20.000","20.160","82.010","32.099","24.076","20.249","13.484","1827.725","1847.547","1812.892","1827.964","1831.233","1824.525","1251.862","1255.708","1254.209","31.567","31.785","31.714","111.655","46.999","1877.577","617.093","3526.245","360.500","593.738","21.870"
"12/03/2020 14:29:50","100.465","102.500","19.997","20.058","82.010","31.969","23.736","20.111","13.549","1829.198","1847.707","1814.038","1813.673","1816.639","1820.257","1259.262","1263.550","1261.781","32.017","32.240","32.226","112.069","46.686","1877.057","616.030","3530.365","361.874","592.757","21.870"
"12/03/2020 14:29:45","100.465","102.500","19.997","20.353","82.010","31.335","23.975","20.286","14.462","1825.124","1849.707","1816.118","1817.955","1822.391","1817.955","1272.176","1274.670","1275.315","32.600","32.776","32.890","111.966","46.541","1877.131","616.902","3522.583","357.925","593.084","21.870"
